collection_ID	collection_start_date	sex	collection_comment	developmental_stage	collection_end_date	GPS_qualifier	trap_duration	f2	species_identification_method	attractant	duration.check	trap_number	species	GPS_latitude	sample_count	trap_type	GPS_longitude	NotEmpty	repeateInstance	sample_ID
soroti_collection_00191	2015-08-11	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-08-11	IA	1		MORPHO	none	0	12	Anopheles funestus sensu lato	1.717417	206	PSC	33.736604	notEmpty	TRUE	soroti_sample_00042
soroti_collection_00191	2015-08-11	male	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-08-11	IA	1		MORPHO	none	0	12	Anopheles funestus sensu lato	1.717417	131	PSC	33.736604	notEmpty	TRUE	soroti_sample_00043
soroti_collection_00191	2015-08-11	male	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-08-11	IA	1		MORPHO	none	0	12	Culicidae	1.717417	1	PSC	33.736604	notEmpty	TRUE	soroti_sample_00044
soroti_collection_00191	2015-08-11	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-08-11	IA	1		MORPHO	none	0	12	Mansonia genus sp.	1.717417	1	PSC	33.736604	notEmpty	TRUE	soroti_sample_00045
soroti_collection_00192	2015-09-05	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-05	IA	1		MORPHO	none	0	12	Anopheles funestus sensu lato	1.717417	204	PSC	33.736604	notEmpty	FALSE	soroti_sample_00046
soroti_collection_00192	2015-09-05	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-05	IA	1		MORPHO	none	0	12	Anopheles gambiae sensu lato	1.717417	65	PSC	33.736604	notEmpty	TRUE	soroti_sample_00047
soroti_collection_00192	2015-09-05	male	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-05	IA	1		MORPHO	none	0	12	Anopheles gambiae sensu lato	1.717417	67	PSC	33.736604	notEmpty	TRUE	soroti_sample_00048
soroti_collection_00192	2015-09-05	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-05	IA	1		MORPHO	none	0	12	Culex sp.	1.717417	1	PSC	33.736604	notEmpty	TRUE	soroti_sample_00049
soroti_collection_00192	2015-09-05	male	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-05	IA	1		MORPHO	none	0	12	Anopheles funestus sensu lato	1.717417	26	PSC	33.736604	notEmpty	TRUE	soroti_sample_00050
soroti_collection_00034	2015-09-05	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Anopheles gambiae sensu lato	1.717417	7	HLC-IN	33.736604	notEmpty	FALSE	soroti_sample_00051
soroti_collection_00034	2015-09-05	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	1	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00052
soroti_collection_00034	2015-09-05	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-09-08	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	285	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00053
